og-116-07->[pi060781, si-131-06, es-0063-2005]
ffi2009-06881-e->[si-085-02, 2004-hum-353, 2002-fqm-296]
imu2005-006->[pi060781, es-0063-2005, pi-0592-2009]
0938-0416->[pi060781, si-131-06, es-0063-2005]
imu2005-002->[pi060781, es-0063-2005, pi-0592-2009]
pi-0512-2006->[pi060781, es-0063-2005, pi-0592-2009]
og-045-08->[ren2002-10380-e, pi-0592-2009, si-016-08]
es-0435-2010->[si-085-02, 2004-hum-353, si-085-07]
ae-0337-2005->[0613-0312, pi-0592-2009, pi060781]
pi-0512-2008->[si-085-02, pi-0551-2007, si-085-06]
og-045-03->[si-085-02, si-085-06, og-086-03]
mtm2010-15383->[og-005-00, si-016-08, og-074-02]
dpi2002-04355-c02-02->[og-086-03, si-004-01, 015-04]
bha2002-01007->[0613-0312, 2002-cvi-210, 2004-hum-353]
0753-0357->[si-016-08, 2002-fqm-296, at2009-0039]
sej2007-63024->[ren2002-10380-e, ctq2007-28969-e, og-074-02]
bff2000-0097-c02-02->[0613-0312, 2002-cvi-210, 2004-hum-353]
tra2007-67181->[2002-fqm-296, og-086-03, 0613-0312]
0240-0030->[og-030-02, subcs09-001, 2002-fqm-296]
dpi2002-12860-e->[si-085-06, fis2009-09326, bfm2001-3943]
ppq2001-3108->[og-086-03, og-062-00, og-030-02]
p06-fqm-01509->[og-086-03, og-062-00, og-030-02]
og-128-05->[es-032-2003, si-004-01, 0613-0312]
sn-0567-2009->[pi-0592-2009, pi060781, 0613-0312]
pi-0043-1997->[es-032-2003, si-004-01, 0613-0312]
og-128-01->[si-016-08, og-005-00, pi-0592-2009]
og-057-06->[og-086-03, og-005-00, 2002-fqm-296]
og-057-07->[og-086-03, 2002-fqm-296, og-030-02]
0203-0125->[si-085-02, og-086-08, es-032-2003]
pet2008_0055->[si-085-06, og-005-00, si-016-08]
pi051493->[0613-0312, pi-0592-2009, pi060781]
acc-408-hum-2001->[0613-0312, si-085-02, si-016-08]
7ac-02->[og-005-00, 0613-0312, si-016-08]
ren2000-1915-e-tecno->[si-085-02, si-085-06, og-086-03]
si-044-03->[0613-0312, si-004-01, og-005-00]
si-044-02->[2002-fqm-296, 0613-0312, 2004-hum-353]
pi-0634-2007->[si-016-08, 2002-fqm-296, at2009-0039]
mat2006-12386-c05-01->[0613-0312, 2002-cvi-210, 2004-hum-353]
sab2009-0078->[0613-0312, 2002-cvi-210, 2004-hum-353]
bfu2004-00884->[pi-0592-2009, pi060781, 0613-0312]
0285-0174->[ren2002-10380-e, pi-0592-2009, si-016-08]
exc-2005-fqm-162->[og-005-00, si-016-08, og-074-02]
acc-799-hum-2002->[2002-fqm-296, 0613-0312, 2004-hum-353]
ctq2008-01565->[0613-0312, og-005-00, si-016-08]
0078-0024->[si-131-06, mtm2007-65909, subcs09-001]
acc-1014-tep-2002->[pi-0592-2009, pi060781, 0613-0312]
hpme-ct-2001-00208->[ren2002-10380-e, pi-0592-2009, si-016-08]
1997-sej-172->[at2009-0039, sej2005-24019-e, 2002-fqm-296]
0850-0385->[0613-0312, 2002-fqm-296, 2004-hum-353]
si-064-03->[si-085-06, si-016-08, og-030-07]
imu2005-040->[ren2002-10380-e, pi-0592-2009, si-016-08]
og-141-07->[0613-0312, 2002-fqm-296, 2004-hum-353]
si-064-06->[si-085-06, si-004-01, es-032-2003]
sub-ja-05->[si-016-08, og-005-00, 0613-0312]
exc-2005-cvi-624->[pi060781, pi-0592-2009, 2002-fqm-296]
dpi2002-04416-c04-04->[es-032-2003, si-004-01, dpi2008-05818]
1997-fqm-109->[si-085-06, si-016-08, og-030-07]
pi-0484-2010->[0613-0312, 2002-fqm-296, 2004-hum-353]
si-064-00->[2004-hum-353, si-085-02, es-032-2003]
1fd97-1430-c04-02->[si-016-08, 0613-0312, og-005-00]
si-084-99->[0613-0312, 2004-hum-353, 2002-fqm-296]
p06-cvi-01650->[0613-0312, dpi2008-05818, pi060781]
otri-08-oe22->[si-016-08, at2009-0039, og-005-00]
ti-190-2002->[si-016-08, og-005-00, 0613-0312]
otri-08-oe20->[og-086-03, si-085-02, si-085-06]
si-052-02->[og-086-03, og-030-02, tin2007-67843-c06-03]
si-052-03->[es-032-2003, si-004-01, dpi2008-05818]
ctm2007-62031->[si-085-06, si-004-01, es-032-2003]
mtm2009-08934->[0613-0312, dpi2008-05818, pi060781]
0772-0194->[si-016-08, at2009-0039, og-005-00]
og-049-08->[es-032-2003, si-004-01, si-085-02]
hf2006-0153->[pi060781, pi-0592-2009, 2002-fqm-296]
pi-0251-2005->[og-086-03, og-005-00, 2002-fqm-296]
2002-cvi-281->[si-016-08, at2009-0039, og-005-00]
og-049-04->[at2009-0039, og-030-02, 0247-0060]
ti-062-2002->[si-085-02, 2004-hum-353, si-085-07]
og-049-03->[si-131-06, si-081-99, bfm2001-3943]
0607-0202->[si-085-06, si-016-08, og-030-07]
p10-agr-6609->[2004-hum-353, 0613-0312, 2002-fqm-296]
bio2009-10138->[si-085-06, si-016-08, og-030-07]
si-103-03->[0613-0312, pi-0592-2009, pi060781]
ai47-04->[015-04, og-086-03, si-085-02]
2002-hum-110->[2004-hum-353, subcs09-001, 0613-0312]
si-103-01->[si-085-06, si-016-08, 0613-0312]
si-103-07->[es-032-2003, si-004-01, si-085-02]
tra2008-02827->[si-085-06, es-032-2003, bfm2001-3943]
si-103-05->[og-086-03, og-062-00, og-030-02]
si-103-04->[es-032-2003, si-004-01, si-085-02]
si-076-06->[es-032-2003, si-004-01, si-085-02]
si-076-03->[si-016-08, at2009-0039, 2002-fqm-296]
si-076-04->[si-016-08, ren2002-10380-e, og-005-00]
agl2010-20730-c02-02->[pi060781, pi-0592-2009, 0613-0312]
p08-tep-03630->[at2009-0039, hf2000-0056, sej2005-24019-e]
otri-08-oe14->[og-086-03, 015-04, submh2008-002]
ti-278-2002->[0613-0312, dpi2008-05818, es-032-2003]
ren2001-4727-e->[si-085-06, si-016-08, 0613-0312]
og-025-06->[2002-fqm-296, 0613-0312, 2004-hum-353]
og-025-03->[si-016-08, og-005-00, 0613-0312]
si-076-02->[pi060781, pi-0592-2009, 0613-0312]
saf2002-03448->[si-085-02, og-086-08, mtm2007-65909]
p07-cvi-02506->[si-085-02, 2004-hum-353, si-085-07]
og-025-01->[ren2002-10380-e, si-016-08, og-005-00]
si-076-00->[og-086-08, mtm2007-65909, pet2008-0330-02]
0563-0152->[0613-0312, 2004-hum-353, 2002-fqm-296]
ja2002-01->[si-085-02, si-085-06, pi-0551-2007]
0152-0097->[015-04, og-086-03, si-085-02]
2002-hum-123->[015-04, og-086-03, si-085-02]
ene2007-62997->[si-085-02, 2004-hum-353, si-085-07]
pi-0082-2008->[si-048-04, mtm2007-65909, 0019-0017]
pp2007-03-022->[pi060781, pi-0592-2009, 0613-0312]
0447-0250->[0613-0312, 2002-cvi-210, 2004-hum-353]
otri-08-oe04->[og-005-00, 0613-0312, si-016-08]
pp2007-03-016->[si2.129340, pi-0592-2009, 2002-fqm-296]
rf2007-00027-c06-04->[es-032-2003, si-004-01, 0613-0312]
